ISBN,0
155870308X,Sports & Recreation
1889439304,Biography & Autobiography
1879378450,Poetry
1877241482,Maori (New Zealand people)
1557833141,Drama
044020805X,Fiction
067142369X,Detective and mystery stories
081256653X,Fiction
1568362943,Religion
074320218X,Biography & Autobiography
1568250770,Fiction
1853262080,Fiction
019285304X,"Bletchley (Buckinghamshire, England)"
1560972181,Comics & Graphic Novels
044661226X,Fiction
1575420368,Juvenile Nonfiction
155853086X,Fiction
076451640X,Computers
1575210304,Computers
1551103753,Gold miners
1585861553,Fiction
074752694X,Best books
088419325X,Business & Economics
1569551197,Religion
1582342156,Fiction
9839747231,International finance
2253154830,Fiction
1858682789,Asia
080507211X,Fiction
1856978311,Animals
060960239X,Pets
1551662698,Fiction
087805359X,Fiction
1566470501,Photography
3453209613,Interplanetary voyages
1570628017,Fiction
8408036424,Fiction
1592660428,Fiction
1555835813,Computers
3404640675,History
055357759X,Fiction
188521135X,Travel
1570628068,Religion
1564142248,Business & Economics
1740593545,Travel
1892065665,Fiction
1860464459,Fiction
8445070355,"Fantasy fiction, English"
034525435X,Treasure troves
1885590431,"Body, Mind & Spirit"
157322829X,Psychology
2070368009,Fiction
1565120965,Computers
1878448986,Fiction
044100962X,Fiction
052143775X,Science
1569471010,Fiction
207036805X,Fiction
1555831745,Psychology
067173363X,Juvenile Nonfiction
1878239090,Sports & Recreation
1852304359,"Body, Mind & Spirit"
037540581X,Fiction
1573247707,Conflict management
1841195529,Science
084394594X,Universities and colleges
1557787239,Religion
1563055139,Juvenile Nonfiction
1585673471,Fiction
1565124030,Biography & Autobiography
156054192X,Fiction
043909254X,Juvenile Fiction
1558171665,Fiction
083560568X,"Body, Mind & Spirit"
080213873X,Fiction
1570291519,Bubbles
067087762X,Literary Collections
1573221686,Fiction
087833243X,Reference
3492236111,Dolphins
043910274X,Juvenile Nonfiction
1571201017,Crafts & Hobbies
1565937287,Medical
1556610424,Reference
042513525X,Fiction
1578702666,Computers
055328990X,Fiction
1577658035,Juvenile Fiction
1551920107,Business & Economics
039457060X,Feminist ethics
156884381X,Political Science
1593300069,Fiction
078691355X,Fiction
2266128566,Fiction
159017061X,Fiction
1890626058,Philosophy
067170348X,DNA fingerprinting
006623929X,Juvenile Nonfiction
1899579125,Religion
8804453257,Fiction
019282211X,Literary Criticism
015297850X,Juvenile Nonfiction
042510429X,Fiction
1565928466,Computers
055329587X,Aeronautics
037363210X,Fiction
031226593X,Fiction
1889538582,Gardening
1571742921,Health & Fitness
1589195914,Education
1896597653,Comics & Graphic Novels
1565048032,Comics & Graphic Novels
1580081746,Business & Economics
8423976645,Fiction
044922502X,Fiction
2843231523,Photography
1557736863,Fiction
1560253096,Photography
059025961X,Killer whale
1931514585,Comics & Graphic Novels
075966661X,Fiction
1553695488,Fiction
087770595X,Family & Relationships
3453065123,Germany
2203011017,Juvenile Fiction
1883402484,Fiction
044021808X,Fiction
1590524314,Social Science
1885254687,Architecture
037361361X,Fiction
055340427X,Fiction
006062213X,Religion
1895565553,Fiction
1560254106,Political Science
1573222348,Fiction
038079487X,Fiction
1843330202,"Body, Mind & Spirit"
1890437271,Fiction
1551667274,Fiction
037327338X,Fiction
8433966030,Fiction
1886947384,Sports & Recreation
055214620X,City and town life
080483301X,Cooking
1565123026,Biography & Autobiography
1564020843,Juvenile Fiction
1557830975,Performing Arts
080503188X,Language Arts & Disciplines
087975446X,Political Science
1568211287,Religion
1582970262,Reference
1582900493,Biography & Autobiography
8804482001,Fiction
1558686274,Travel
1591162297,Comics & Graphic Novels
192999818X,Comics & Graphic Novels
1588512215,Fiction
078971812X,Computers
067188428X,Fiction
1551669196,Fiction
1570825637,Juvenile Fiction
1563522977,Humor
039304002X,International relations
067169880X,Fiction
038073298X,Juvenile Fiction
1568250452,Fiction
1931646384,Self-Help
006109286X,Fiction
042518286X,Fiction
082973788X,Religion
1569317658,Comics & Graphic Novels
1405020946,Prisoners
155166545X,Fiction
051513631X,Fiction
1579652158,History
1585421286,Humor
031242082X,History
037389807X,Connecticut
044022201X,Fiction
1563526298,Reference
1565121937,Biography & Autobiography
1580083412,Career changes
079225676X,Photography
1551665336,Fiction
014200328X,Fiction
1843336162,Psychology
189403158X,Domestic fiction
080750856X,Juvenile Fiction
067153551X,Juvenile Fiction
1564586146,Horse breeds
055313826X,Cowboys
1575660024,Fiction
068814487X,Fiction
156158018X,House & Home
051762639X,Fiction
1552780929,Art
1888310448,Fiction
1928556388,Fiction
078688505X,Humor
1931160066,Photography
1931081255,Fiction
1575660571,Fiction
067974178X,History
1892738287,Fiction
030711886X,Juvenile Fiction
1561012238,Religion
055307122X,Fiction
006447142X,Juvenile Fiction
1577311949,"Body, Mind & Spirit"
1560442956,Juvenile Nonfiction
1559586648,Social Science
006018373X,History
1888173408,Fiction
1891305069,Fiction
047131045X,Juvenile Nonfiction
089107743X,Fiction
188308976X,Transportation
055310764X,Fiction
1586609246,Fiction
038531227X,Fiction
013776667X,Psychology
156592147X,UNIX (Computer file)
1550501313,Juvenile Fiction
1861007353,Science
025320948X,History
031220082X,Performing Arts
155652272X,Cooking
1853261289,Juvenile Fiction
075153059X,Biography & Autobiography
1551660369,Fiction
1850153213,Humor
1583226443,History
091676687X,Religion
1590580672,Fiction
1550415980,Antiques & Collectibles
031211799X,History
1577485343,Coffee in literature
043952136X,Juvenile Fiction
030724055X,Insects
055357373X,Fiction
039912568X,Fiction
031214816X,Fiction
031327665X,Literary Criticism
014131303X,Bullying
1582971404,Reference
019558404X,Literary Collections
076151290X,Self-Help
1567183034,"Body, Mind & Spirit"
076153007X,Video games
1928832954,Religion
1590580478,Fiction
1569246882,Business & Economics
084395020X,Fiction
1888277173,Music
1562946331,Juvenile Nonfiction
1559722177,Biography & Autobiography
1561840599,"Body, Mind & Spirit"
1590140672,Juvenile Fiction
039474098X,Fiction
1569245509,Health & Fitness
074320512X,Fiction
1561562645,Animals
096933222X,Cooking
068980167X,Juvenile Fiction
1578511402,Business & Economics
1559211563,Fiction
1901680290,Performing Arts
030709801X,Cooking
1902881125,Fiction
087857896X,Bicycles
1584850345,Friendship
034545538X,Family & Relationships
185242575X,Fiction
1885222602,Self-acceptance
1563052946,Foreign Language Study
096396075X,Cousins
1562925474,Religion
094920658X,Aboriginal Australians
1565122798,Biography & Autobiography
1879085771,Juvenile Fiction
9575880145,Knots and splices
1585420387,Religion
1902593332,Health & Fitness
1586480073,History
1557092621,Juvenile Fiction
1564588521,Sports & Recreation
044021226X,Fiction
3791321641,Art
006008409X,Fiction
1592571727,Reference
1550544748,Art
1400051290,"Body, Mind & Spirit"
2227137355,Travel
1841764469,History
048628025X,Juvenile Fiction
3499232898,London (England)
1928782140,True Crime
047139470X,Computers
1400061741,Fiction
039583810X,Fiction
1565848241,Business & Economics
002011690X,Crafts & Hobbies
038513181X,Juvenile Nonfiction
1860468233,Travel
1856353168,Fiction
1853754838,Cooking
1879364441,Business & Economics
006445195X,Juvenile Nonfiction
014019357X,Philosophy
1587750023,Fiction
044900273X,Fiction
2020115395,French fiction
1575667215,Fiction
015205720X,"Children's stories, American"
1931412782,Religion
1565122399,Reference
298034141X,Cooking
225303956X,French language materials
1841721840,Cooking
082176988X,Fiction
1404802258,Juvenile Fiction
187785350X,Fiction
1561712698,Political Science
097089726X,Juvenile Fiction
039912764X,Fiction
1884997163,Religion
1931561516,Fiction
1888952121,Fiction
076791385X,Self-Help
1575401142,Mountaineering
076361050X,Juvenile Fiction
1931514046,Juvenile Fiction
156584260X,Performing Arts
1557736286,Fiction
061809525X,Fiction
2070400077,Fiction
184232666X,Fiction
1566890942,Biography & Autobiography
1567184421,"Body, Mind & Spirit"
1414007981,Humor
1878685546,Technology & Engineering
1562926055,Religion
1569472017,Biography & Autobiography
1582431272,Biography & Autobiography
014011596X,Fiction
1591160642,Comics & Graphic Novels
1564965171,Art
052594236X,Fiction
1931561494,Fiction
1575210878,Computers
3499112485,German fiction
8426105149,Foreign Language Study
068809368X,Fiction
1886910723,Juvenile Fiction
039914837X,Fiction
2253172200,Fiction
1854793152,Literary Criticism
1551667053,Fiction
1879237237,Psychology
045120770X,Fiction
1400040388,Fiction
1852425075,Fiction
014014059X,Literature
038524293X,Religion
8817114006,Fiction
076455221X,Sports & Recreation
075281740X,Sports & Recreation
1401081274,Fiction
1853264121,Poetry
1565070372,Fiction
1892941546,Biography & Autobiography
1577312309,Music
1857033701,Motion picture industry
039303531X,History
014026972X,Medical
158860005X,"Body, Mind & Spirit"
080505622X,Fiction
037326285X,Fiction
8420633135,Poetry
069101115X,Philosophy
1556610564,Fiction
1573229628,Biography & Autobiography
042514531X,Fiction
1565846281,Fiction
067172147X,Fiction
1578591139,Performing Arts
1580081452,History
2253154229,Fiction
1863682759,Biography & Autobiography
1569711291,Comics & Graphic Novels
038547444X,Biography & Autobiography
089480751X,Cooking
1572970928,Fiction
1851454713,Fiction
1551664275,Fiction
037570096X,Fiction
1400031516,Fiction
2020094851,English language
1862053022,Fairies
080652023X,"Body, Mind & Spirit"
031224309X,Law
2226093257,Fiction
055305094X,Biography & Autobiography
1893554163,Political Science
006445083X,Juvenile Nonfiction
3822886483,Art
1550373889,Juvenile Fiction
1878424076,"Body, Mind & Spirit"
1556524277,Biography & Autobiography
039475929X,Short stories
2070424197,Fiction
039571687X,Fiction
080500775X,Technology & Engineering
1931497133,Juvenile Fiction
1551050218,Alberta
1578591155,DVD videodiscs
2867447763,Literature
1555972284,Fiction
038081479X,Fiction
1857999479,Travel
3518375768,Arthurian romances
1551664763,Fiction
1559590386,Psychology
020187878X,Astronomie
1558537848,Humor
1887166475,Family & Relationships
1590520327,Fiction
046501738X,Sports & Recreation
1891885030,Literary Collections
1576735729,Fiction
1556156707,Computers
081391289X,Social Science
1567920896,Fiction
8806116053,"World War, 1939-1945"
1572433264,Family & Relationships
1572930195,Religion
1583140018,Fiction
068482681X,Philosophy
1902934229,Fiction
1556590687,Poetry
000225929X,Fiction
1930076150,Fiction
006093221X,Family & Relationships
1902825578,Science
006050563X,Fiction
1580632017,Pets
1586603973,Fiction
019281642X,British
1575667274,Fiction
074348049X,Fiction
1589196635,Juvenile Nonfiction
8807016028,Fiction
031285563X,Fiction
015201036X,Alphabet
042518305X,Fiction
030702024X,Juvenile Fiction
1561631094,Fiction
1566040450,Computers
3499614502,Bayes-Verfahren - Einführung
086241931X,African American artists
8437602211,Fiction
031230238X,Biography & Autobiography
1573660000,Fiction
1568990294,Juvenile Fiction
1563896613,Comics & Graphic Novels
1569471568,Fiction
1841125644,Characters and characteristics
1576739562,Fiction
1889625035,Poetry
3290114708,Religion
080211539X,Fiction
156718264X,"Body, Mind & Spirit"
087605534X,Pets
055327290X,Fiction
1883010365,Crafts & Hobbies
083611714X,Amish
1586636111,Social Science
055329671X,Fiction
1583140247,Fiction
1558703314,Reference
084991308X,United States
055338029X,Biography & Autobiography
1562829300,Cooking
006097169X,Fiction
1560523018,Telephone etiquette
1879181274,Religion
157061136X,Gardening
078790080X,Business & Economics
1888608978,Gardening
1874166374,Quantum theory
1564782565,Fiction
156098659X,Burgess Shale (B.C.)
157566903X,Fiction
044914755X,American fiction
067983074X,Juvenile Fiction
067165604X,Fiction
1888777745,Drama
006019541X,Fiction
1575400871,Sports & Recreation
3453215222,Fiction
1852790059,Pets
8466309055,Fiction
1571430458,Biography & Autobiography
1577310063,Religion
074342297X,Fiction
2211048889,African Americans
3442151546,Astronomy
059048012X,Conservation of natural resources
158297103X,Reference
082122591X,Art
1558501525,History
1562827588,Business & Economics
1570717451,Fiction
1561702196,Psychology
1577310543,"Body, Mind & Spirit"
034543076X,Fiction
1551430746,Juvenile Fiction
4770023294,Fiction
2253136468,Fiction
1562826840,Juvenile Fiction
034081800X,Juvenile Fiction
1567187463,"Body, Mind & Spirit"
034542039X,Fiction
1585470031,Fiction
3608932453,"Fantasy fiction, English"
088975179X,Law
1550025023,Juvenile Fiction
038533348X,Fiction
185487117X,"Horror tales, American"
1552635392,Biography & Autobiography
8479019395,Self-Help
1572230940,Sand craft.
067003259X,Fiction
055334823X,Nature
074323751X,Fiction
067153615X,Fiction
1583141723,Fiction
1558504206,Business & Economics
1589760204,Biography & Autobiography
079380258X,Nature
1560252677,History
093152976X,Religion
1879288451,Biography & Autobiography
1855858274,Crafts & Hobbies
3257232896,"Authors, Swiss"
1558852689,Juvenile Fiction
044900175X,Fiction
055334532X,"Holocaust, Jewish (1939-1945)"
1575910519,Literary Criticism
1902852028,Fiction
9654940043,"Body, Mind & Spirit"
059042193X,Blindness
080248221X,Christian leadership
038075911X,Fiction
1567188176,"Body, Mind & Spirit"
1575001063,Computers
1570711518,Family & Relationships
1580172385,Business & Economics
1870206444,Fiction
014240165X,Juvenile Fiction
158017311X,Pets
1853260657,Fiction
1579213103,Family & Relationships
1929998058,Comics & Graphic Novels
1579400914,Sports & Recreation
2266078615,Fiction
067175047X,Family & Relationships
159184021X,Business & Economics
1561795976,Fiction
1857994213,Fiction
1551667991,Fiction
3442454646,American fiction
1573222194,Fiction
1898141207,Music
031285370X,Fiction
1877962341,Social Science
080690545X,Crafts & Hobbies
8408027255,Fiction
3532620618,Christology
1558742913,Self-Help
013191958X,Computers
067975038X,Biography & Autobiography
031286440X,Fiction
1588987442,Fiction
1573221309,Social Science
006092859X,Fiction
006095177X,Medical
086547673X,Nature
1557044783,Performing Arts
1931868360,Biography & Autobiography
055329508X,Fiction
1576736563,Fiction
014019617X,Religion
039914501X,Fiction
067146812X,"Abnormalities, Human"
1929049358,Crafts & Hobbies
081674291X,Juvenile Fiction
1563052407,Juvenile Nonfiction
055329184X,Short stories.
059046017X,Deer
019860176X,Reference
1551668181,Fiction
1565122062,Fiction
155166660X,Fiction
1559723130,Business & Economics
1853262528,Fiction
193148418X,Comics & Graphic Novels
067083954X,Fiction
1892859130,Reference
1931896011,Fiction
074322311X,Fiction
186450207X,Photography
156170573X,Health & Fitness
1578567408,Fiction
1569800863,Fiction
089480832X,Cooking
088001508X,Fiction
059045496X,Juvenile Fiction
076790351X,History
014017530X,Fiction
080482052X,Architecture
067231892X,Computers
1573223573,Crafts & Hobbies
1413702775,Fiction
2070767108,Geopolitics
1565925157,Computers
034530358X,Fiction
2742710329,"Authors, American"
1883010195,Basil.
1574883844,Sports & Recreation
187858071X,"Holocaust, Jewish (1939-1945)"
037326254X,Fiction
034532532X,Fiction
1558762671,Fiction
014016622X,History
042516408X,Fiction
006056038X,Fiction
8420433020,"Children's literature, Spanish"
014023280X,Biography & Autobiography
081332615X,History
034546334X,Fiction
006016056X,Science
080507290X,Science
8401380456,Fiction
031227257X,Fiction
038518865X,Social Science
060980281X,Nature
1575662000,Fiction
1564403726,Camping
1559721634,Fiction
1580172024,Gardening
068482504X,Fiction
379131260X,Art
1557700680,Biography & Autobiography
1864502169,Travel
039455969X,Cooking
1578060435,Family & Relationships
055384007X,Emotional intelligence
006018244X,Fiction
140220017X,Fiction
081183462X,Fiction
095835684X,Business & Economics
067978148X,Fiction
034543014X,Fiction
037310619X,Large type books
1857230302,"Science fiction, English"
1880216515,Fiction
1581602693,Political Science
2258058376,Ayla (Fictitious character)
1562763636,Computers
1858287642,Travel
1862042535,Curiosities and wonders
1903402913,Biography & Autobiography
094087136X,Sports & Recreation
038550313X,Rome
155071063X,Education
8408043064,Fiction
1896332145,Social Science
1579903622,Crafts & Hobbies
1873176163,Music
081956382X,Fiction
1559724528,Biography & Autobiography
055325409X,Detective and mystery stories
1565123409,Biography & Autobiography
087857719X,Cooking
059043103X,Ballet dancing
1889910171,Juvenile Fiction
157912061X,Humor
1858688531,Social Science
1850784590,Religion
193189017X,Cooking
1862040052,Biography & Autobiography
1882593448,Fiction
067154053X,Fiction
1583940723,Juvenile Fiction
068482454X,Biography & Autobiography
039552590X,Juvenile Fiction
067102146X,Fiction
055356918X,Fiction
1570980926,Political Science
014025157X,Performing Arts
1582341656,Fiction
014011727X,Biography & Autobiography
157584169X,Toy and movable books
014043030X,England
1895387930,Brothers and sisters Juvenile fiction
1565121651,Fiction
055356966X,Fiction
1564589862,Pets
1580627846,Cooking
055356448X,Fiction
1558612815,Fiction
8817202266,Fiction
044023719X,Fiction
1861972032,Fiction
1569718385,Comics & Graphic Novels
081291323X,English language
1558503862,Executives
1873403283,Literary Criticism
1586601342,Fiction
1551520915,Travel
044048474X,Juvenile Fiction
1570625743,Health & Fitness
1401900127,Self-Help
186450319X,Travel
186508641X,Juvenile Fiction
091900153X,Fiction
2290300543,Fiction
052594334X,Fiction
055215038X,Fiction
1575669056,Fiction
1572972149,Adventure stories
1856978893,Juvenile Fiction
1883085047,Sports & Recreation
076530953X,Fiction
034537763X,Fiction
1571780866,Gardening
2253009229,Fiction
3822813982,Art
067945747X,Political Science
1853754617,Humor
1854700219,Knitting
038548318X,Fiction
155278312X,History
1565123352,Fiction
088739244X,Fiction
1568361289,Travel
1573221449,Religion
055327080X,Fiction
067102728X,Fiction
8433910698,Fiction
188586518X,Fiction
1579830021,"Body, Mind & Spirit"
3499608421,Fremdsprachenlernen - Ratgeber
039472688X,Psychology
1560255021,Political Science
1840460571,Science
1567511589,Business & Economics
002095980X,Religion
1857996054,Evolution (Biology)
2070375609,Fiction
1573247022,Health & Fitness
067473906X,Performing Arts
093497117X,Fiction
1550130536,Business ethics
2266022504,Fiction
1592246605,Fiction
069602554X,Gardening
1899324038,"Body, Mind & Spirit"
8420744794,Juvenile Fiction
157145697X,Humor
2080700944,Contrat social
044022179X,Fiction
080483265X,Literary Collections
1578700035,Computers
1899197354,Fiction
030712794X,Air mail service
1561707090,Health & Fitness
1571201815,Crafts & Hobbies
1892723018,Fiction
1561560286,Juvenile Fiction
082175453X,Fiction
1400046629,Law
1573220620,Fiction
1567920950,Literary Collections
006447237X,Juvenile Fiction
031211818X,Nature
1882931815,Comics & Graphic Novels
3446155260,Aboriginal Australians
031225377X,Social Science
2253063630,Fiction
034538170X,Humor
1567180698,History
155166173X,Fiction
1564586251,Juvenile Nonfiction
1576738175,Fiction
1551667371,Fiction
8420448583,Juvenile Fiction
1557783500,"Body, Mind & Spirit"
1556114249,Biography & Autobiography
1582343853,Nature
087773903X,Religion
1583483810,Fiction
156305664X,Art
068813582X,Self-Help
038572182X,Fiction
3908247349,Photography
1573531065,Celts
1575665557,Fiction
019503838X,History
037315271X,Fiction
156592455X,Java (Computer program language).
158574722X,History
080501604X,Psychology
1400030102,Fiction
1564770508,Crafts & Hobbies
1566631076,Fiction
073870279X,"Body, Mind & Spirit"
8479531487,Health & Fitness
1856499693,Family & Relationships
080249238X,Religion
3442098432,Horror tales
155166528X,Fiction
038541188X,Detective and mystery stories
039301651X,Fiction
1561641162,Fiction
1592640273,Fiction
1901496120,Ireland
055356692X,Juvenile Fiction
1557831629,Drama
1582971021,Reference
3795118018,Child slaves
1565936973,Medical
8437601703,Drama
074344485X,Fiction
1585671398,History
1887208046,Business & Economics
156924782X,"Body, Mind & Spirit"
1561630853,Juvenile Fiction
349222962X,Fiction
1902602323,Adjustment (Psychology)
158567169X,Fiction
1885983174,Fiction
1586604899,Religion
1878424092,Philosophy
048641597X,Literary Collections
042518496X,Biography & Autobiography
1582700494,Self-Help
1569579040,"Children's stories, English."
1558742131,Self-Help
034537682X,Fiction
1573240532,Family & Relationships
078601153X,Fiction
074342221X,Juvenile Fiction
2012789293,Apes
158134077X,Church
090527086X,Ghosts
1570627177,Philosophy
1551667835,Fiction
055337849X,Fiction
1887655816,Education
053105960X,Grandmothers
1583143904,Fiction
052594639X,Fiction
1568490992,Health & Fitness
1859843867,Nature
1583142541,Fiction
067187215X,Juvenile Fiction
2070415732,Fiction
1561794147,Education
1573060402,Fiction
1883672767,Juvenile Fiction
1853405590,Children's stories
3499224674,Blindness
8466307982,Fiction
1882606396,Health & Fitness
1592640311,Fiction
1561580880,Crafts & Hobbies
031231034X,Fiction
2742705724,Magicians
1854796283,Biography
1840243503,Brazil
1552091481,Performing Arts
840138527X,Chile
156924684X,Business & Economics
006440238X,Juvenile Fiction
847600575X,Psychology
1400002672,Biography & Autobiography
071484053X,Photography
1854108719,Sports & Recreation
047141574X,History
1556346875,Games
044840463X,Beethoven (Fictitious character : Hughes)
1558820132,Fiction
1550225197,Religion
155704208X,Performing Arts
1582400008,Assassins
1563055066,Cooking
1855857731,Crafts & Hobbies
081181629X,Fiction
1569471339,Travel
089096100X,History
1587611600,Social Science
086505505X,Juvenile Nonfiction
1880684586,Fiction
067977548X,Psychology
014010996X,Fiction
1582431248,Kentucky
080411966X,Fiction
1580630898,"Body, Mind & Spirit"
2070363309,Fiction
1568849036,Microcomputers
1563523418,Self-Help
157912240X,Performing Arts
067943559X,Fiction
1889330167,Fiction
047210666X,Education
067173976X,Fiction
039456894X,Self-perception
1579510027,"Body, Mind & Spirit"
067088734X,Business & Economics
1858600235,"Body, Mind & Spirit"
059045448X,Juvenile Fiction
059043568X,Babysitters
1558746153,Juvenile Nonfiction
006051406X,Juvenile Fiction
1929897057,Game wardens
073820370X,Education
1401300626,Business & Economics
055334580X,Fiction
082177235X,Fiction
1558853103,Comics & Graphic Novels
2070378446,Fiction
1853266159,Fiction
1585790230,History
082176120X,Fiction
006105366X,Fiction
1884956025,Language Arts & Disciplines
1576736997,Religion
1593100655,Fiction
1853265594,Fiction
070780289X,Cooking
1562829130,Literary Collections
1556615280,Religion
067179647X,Psychology
186508123X,Fossil hominids
014051032X,Reference
1562828657,Music
1864503343,Travel
8433920995,Fiction
1895629683,Business & Economics
1583940650,Nature
1565078640,Religion
1896300227,Fiction
2253044997,Fiction
184391039X,Fiction
1840020407,Biography & Autobiography
1590030109,Religion
1882593308,Fiction
2253050067,Fiction
1570034702,History
3775791213,Design
185585662X,Art
1853264288,Poetry
1891824171,"Body, Mind & Spirit"
1857881095,Business & Economics
050552368X,Fiction
067100400X,Fiction
1573241431,Self-Help
1580172466,Cooking
1842120182,History
039304016X,Biography & Autobiography
1559723009,Biography & Autobiography
048624962X,Crafts & Hobbies
1854591835,Drama
067972205X,Biography & Autobiography
1556617364,Christian life
1885061471,Nature
1557735255,"Jasper, Kate (Fictitious character)"
039915180X,Fiction
039554811X,Juvenile Nonfiction
3822819735,Photography
055305161X,Fiction
1570613370,Comics & Graphic Novels
1562827529,Cooking
1550172646,Travel
1852910623,Escapes
1576750337,Business
038000142X,Juvenile Fiction
031219983X,Humor
034538945X,Biography & Autobiography
1556616465,Juvenile Fiction
1575210479,Computers
1882926536,Education
006017420X,Psychology
1575665700,Fiction
155041707X,Juvenile Fiction
1563334232,Gay men
8420616702,Poetry
1575661551,Fiction
2253047147,Fiction
093662504X,Christian life
1552630277,Comics & Graphic Novels
1567184715,History
1894994019,Fiction
043904233X,Folklore
007136126X,Psychology
038548724X,Fiction
1562477668,Juvenile Fiction
1896095186,Fiction
1932100083,Performing Arts
2070373622,Fiction
039914207X,Fiction
1569473269,Fiction
078388852X,Fiction
1892049252,Biography & Autobiography
3453173090,Wills
014012103X,Fiction
044011408X,Cambridge (Mass.)
014026468X,Business & Economics
1850153906,Juvenile Nonfiction
1583141073,Fiction
1569753210,Juvenile Nonfiction
222610853X,Fiction
1550415107,Juvenile Fiction
2070384853,Fiction
1401047319,Fiction
089879658X,Language Arts & Disciplines
1555000363,Social Science
8433924893,Fiction
038080624X,Biography & Autobiography
1555610900,Cooking
158411035X,Christian life
1931391327,Decision making
158240139X,Comics & Graphic Novels
1577480597,Juvenile Fiction
2070419886,Algeria
1577312252,Nature
087131925X,Cooking
1555612326,Family & Relationships
039331295X,Psychology
1560522925,Communication in management
1557831572,Drama
1857978129,Family Saga
156179712X,Religion
068818474X,Music
2742701826,French drama
1559720328,"Body, Mind & Spirit"
1551665220,Fiction
051742438X,Great Britain
037540029X,Fiction
1552090329,Juvenile Fiction
1575666391,Fiction
1891620770,History
067145577X,Fiction
1575843366,Juvenile Fiction
038001159X,Biography & Autobiography
8817134597,Fiction
1568581912,Fiction
067122591X,Fiction
1567186882,"Body, Mind & Spirit"
080213341X,Fiction
3822855499,Art
037326450X,Fiction
1565792807,Sports & Recreation
007061203X,Artists
156639466X,Sports & Recreation
1570623392,Fiction
1551667010,Fiction
1842230557,Air travel
1555835325,Education
1853264156,Poetry
067165361X,Fiction
1564766322,Family & Relationships
1882606345,Health & Fitness
1860460488,Fiction
015600724X,Fiction
067978117X,History
076455297X,Health & Fitness
077372513X,Canadian wit and humor
082175291X,Fiction
9500719444,Courtesans
1572240792,Psychology
1892127040,Crafts & Hobbies
019541120X,Medical
031213441X,Fiction
1565122046,Fiction
1887299106,Health & Fitness
014018936X,Fiction
1842327321,Fiction
080692053X,Fiction
1842322893,Fiction
1564764141,Religion
061819679X,Juvenile Fiction
1574090100,Sports & Recreation
1879941201,Fiction
1559704756,Fiction
038572120X,Fiction
1593101635,Fiction
1583226184,Fiction
158314188X,Fiction
1580511236,Religion
1573249556,"Body, Mind & Spirit"
074593711X,Religion
2070364259,Fiction
1575666200,Fiction
8433914820,Fiction
1576739139,Family & Relationships
015201697X,Juvenile Fiction
184215012X,House & Home
1568520107,"World War, 1939-1945"
1556610025,Fiction
1568957068,Fiction
1573531103,"Body, Mind & Spirit"
1885928149,Religion
1563630869,Health & Fitness
4770026900,Fiction
1861541678,Design
1932112111,Fiction
1571458018,Health & Fitness
088419423X,Religion
1896332064,Canada
2070429725,Fiction
1575667614,Fiction
037369184X,Fiction
038081465X,Fiction
1852423382,Biography & Autobiography
031205825X,Fiction
1577658000,Juvenile Fiction
1840183314,Travel
1931499039,Crafts & Hobbies
1400002214,Fiction
014038801X,Juvenile Fiction
1582347794,Juvenile Fiction
1570719381,Family & Relationships
1551050986,Nature
074344650X,Self-Help
1884910408,Reference
080213727X,Art
082451646X,Fiction
1879007363,Poetry
1551990393,Biography & Autobiography
1582431612,Fiction
039951838X,Performing Arts
1565923588,Computers
1563890313,"Comic books, strips, etc"
1565124006,Fiction
1565076400,Social Science
1877133779,Literary Criticism
039396194X,College readers
1567186661,"Body, Mind & Spirit"
1858283434,Internet
1885211635,Travel
067102762X,Family & Relationships
006066567X,Religion
051770448X,Humor
1576737039,Religion
1841151890,Fiction
1572971967,Fiction
8445070339,"Baggins, Frodo (Fictitious character)"
8408050885,Fiction
155166304X,Fiction
1551430010,Sports & Recreation
1584852755,Juvenile Fiction
1575666421,Fiction
1563410192,Fiction
091482967X,Religion
1565077776,Family & Relationships
1840241128,Majorca (Spain)
068418382X,Ghost stories
1551668513,Fiction
1576738809,Fiction
1558743421,Self-Help
084990630X,House & Home
068480073X,Education
2290302759,Fiction
2070372235,Fiction
039592474X,Fiction
067987450X,Juvenile Fiction
157062805X,Philosophy
1578050723,Social Science
006051275X,Fiction
057560106X,"Children's stories, English"
042516294X,Fiction
1585670227,Fiction
068483345X,Business & Economics
1583140255,Fiction
087074478X,Fiction
1572316306,Computers
3423130768,Egypt
034530912X,Cartoons and comics
006441082X,Juvenile Fiction
1551669013,Fiction
8401327024,Fiction
1562470752,African Americans
1593080514,Fiction
9029514973,Dutch literature
1932360131,Fiction
050552001X,Fiction
1852426071,Education
034544423X,Fiction
081890710X,Religion
067943108X,Biography & Autobiography
014250050X,Juvenile Fiction
1590580575,Fiction
082177171X,Fiction
1557041318,Juvenile Fiction
1594140588,Fiction
157392718X,Philosophy
042518384X,Fiction
080106127X,Biography & Autobiography
8478443223,Fiction
1562054988,Computers
8432205214,Spanish fiction
1573225487,Fiction
037580661X,Juvenile Fiction
1562613588,Juvenile Nonfiction
1565074793,Religion
1567314295,Love
1578590698,Dinosaurs
1585671495,Fiction
1888451165,Fiction
1576600734,Business & Economics
1561700452,"Body, Mind & Spirit"
1567993958,Gardening
034540291X,Fiction
1560974338,Comics & Graphic Novels
039451405X,Fiction
1578567610,Religion
2290201650,Fiction
059045479X,Chickens
